student,race,gender,learning_prefrence,remembering,understanding,applying,analysis,Creating,test_prep
1,group B,Male,Videos,5,9,6,7,9,1
2,group C,Female,PDF,5,9,6,7,6,1
3,group B,Male,PPT,6,3,6,5,2,1
4,group A,Male,Videos,7,4,4,5,10,0
5,group C,Male,PDF,6,2,5,4,3,0
6,group E,Male,Videos,4,9,7,7,9,0
7,group C,Male,PDF,10,6,8,8,4,0
8,group C,Female,PPT,10,5,4,6,5,0
9,group D,Female,PDF,5,3,5,4,6,1
10,group D,Male,PPT,7,4,5,5,9,1
11,group B,Male,Videos,9,5,4,6,3,1
12,group B,Male,PDF,9,6,8,8,5,1
13,group C,Female,PPT,9,9,5,8,2,1
14,group A,Male,PDF,7,9,5,7,5,0
15,group A,Female,PPT,10,6,4,7,3,1
16,group E,Male,PPT,8,2,7,6,7,1
17,group C,Female,Videos,5,7,8,7,1,0
18,group C,Female,PPT,4,3,6,4,10,0
19,group D,Male,PDF,7,6,6,6,1,0
20,group B,Male,Videos,6,9,5,7,1,0
21,group D,Female,PDF,5,3,6,6,9,0
22,group E,Male,PPT,10,4,5,5,3,0
23,group B,Male,PPT,10,9,5,6,3,0
24,group D,Female,Videos,8,4,8,4,5,1
25,group D,Male,PDF,8,5,5,7,6,0
26,group C,Female,PDF,7,4,4,6,6,1
27,group D,Female,PPT,4,10,6,8,5,0
28,group E,Male,PPT,8,7,7,6,6,1
29,group A,Female,PDF,6,3,8,7,2,0
30,group E,Male,PPT,6,8,4,8,4,1
31,group E,Female,PDF,10,6,6,5,6,1
32,group A,Male,Videos,9,4,6,5,5,1
33,group D,Male,PDF,10,3,7,4,8,0
34,group B,Male,PDF,5,8,7,5,8,0
35,group E,Female,PPT,6,5,4,8,1,1
36,group C,Male,PPT,7,6,5,7,5,0
37,group A,Female,Videos,8,9,8,8,3,1
38,group B,Female,PDF,9,3,4,5,6,0
39,group A,Male,PDF,5,7,4,5,4,1
40,group C,Female,Videos,7,10,6,7,3,0
41,group E,Male,Videos,4,5,5,7,8,0
42,group B,Female,PPT,6,4,8,7,10,1
43,group D,Female,PDF,9,8,6,8,10,0
44,group C,Male,PDF,6,7,5,6,4,0
45,group A,Male,PPT,9,5,5,7,8,1
46,group B,Female,Videos,4,4,4,8,1,0
47,group E,Female,Videos,5,3,6,6,2,1
48,group E,Female,PPT,6,5,8,5,9,1
49,group C,Male,PDF,8,9,6,7,8,0
50,group A,Female,PPT,10,9,7,5,3,1
51,group C,Male,Videos,4,10,6,5,2,0
52,group D,Female,PPT,5,5,5,5,9,0
53,group D,Male,PDF,5,8,8,7,6,0
54,group E,Female,PPT,7,7,5,8,5,0
55,group E,Male,Videos,8,4,6,4,3,0
56,group B,Female,PDF,4,6,4,7,5,1
57,group E,Female,PPT,4,4,6,4,1,0
58,group D,Male,PDF,7,10,7,4,9,1
59,group C,Male,PPT,10,4,5,8,9,0
60,group D,Male,Videos,7,4,5,4,8,0
61,group B,Female,Videos,4,7,8,5,5,1
62,group E,Male,PDF,9,7,5,5,8,1
63,group D,Female,PPT,6,4,4,5,2,1
64,group D,Male,Videos,8,7,8,7,4,0
65,group A,Female,PPT,9,5,4,8,4,0
66,group D,Male,PDF,8,4,5,8,3,0
67,group B,Female,Videos,7,5,8,8,6,0
68,group B,Male,PPT,9,5,5,8,1,0
69,group A,Male,PPT,5,9,5,5,1,0
70,group D,Male,PDF,4,10,5,4,6,1
71,group C,Female,Videos,7,6,6,4,6,0
72,group D,Male,PPT,4,5,6,5,1,0
73,group C,Male,PPT,6,3,6,7,10,1
74,group A,Female,PPT,9,3,8,4,4,0
75,group A,Male,PDF,8,4,5,7,3,0
76,group D,Female,PPT,9,8,8,5,9,1
77,group D,Male,PDF,9,6,4,5,4,1
78,group E,Female,PPT,10,9,6,5,10,0
79,group E,Male,PDF,8,7,8,4,5,1
80,group E,Female,Videos,5,5,8,5,9,1
81,group B,Female,PDF,8,3,5,5,3,0
82,group B,Male,PPT,5,7,6,6,9,1
83,group C,Male,PDF,8,8,5,7,9,1
84,group B,Male,PPT,7,6,7,5,7,0
85,group A,Female,PPT,5,9,4,5,1,0
86,group B,Female,Videos,10,3,6,4,7,0
87,group A,Male,PPT,4,7,7,8,2,1
88,group E,Male,PDF,10,5,8,6,6,1
89,group A,Male,PPT,10,6,5,5,6,1
90,group B,Female,Videos,7,9,6,6,6,1
91,group D,Male,PDF,7,9,7,8,3,0
92,group D,Male,PPT,7,6,5,7,5,0
93,group A,Female,PDF,5,9,6,8,2,1
94,group C,Male,PPT,7,4,8,4,5,1
95,group B,Male,Videos,7,4,4,4,2,1
96,group A,Female,PDF,9,8,7,4,2,0
97,group E,Male,PPT,10,3,6,7,5,1
98,group D,Male,PDF,5,9,7,6,9,1
99,group D,Female,PPT,4,10,6,7,4,1
100,group C,Male,Videos,7,10,5,4,6,1